Type,Text (raw data),,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"You Israelis are Nazis in your souls and in your conduct. In your occupation you never distinguish between men and women, or between old people and children. You adopted methods of collective punishment, you uprooted people from their homeland and from their homes and chased them into exile. You fired live ammunition at women and children. You smashed the skulls of defenseless civilians. You set up detention camps for thousands of people in subhuman conditions. You destroyed homes and turned children into orphans. You prevented people from making a living, you stole their property, you trampled on their honor. Given that kind of conduct, there is no choice but to strike at you without mercy in every possible way.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"And the rank and file were ready to follow through fire and water. I was subordinate to just one person. my relations with him were good, as long as I agreed to all that was asked of me. It was an organization with a very clear hierarchy, and it was clear to me that I was at the bottom or the ladder and that i had to do whatever I was told.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,Commanders in the Hamas are commanders in every way. A commander’s orders are absolutely binding and must not be questioned in substance.,,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"You have to understand that armed attacks are an integral part of the organization’s struggle against the Zionist occupier. There is no other way to redeem the land of Palestine and expel the occupier. Our goals can only be achieved through force, but force is the means, not the end. History shows that without force it will be impossible to achieve independence. Those who carry out the attacks are doing Allah’s work",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"The more an attack hurts the enemy, the more important it is. That is the measure. The mass killings, especially the martyrdom operations, were the biggest threat to the Israeli public and so most effort was devoted to these. The extent of the damage and the number of casualties are of primary importance.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"This is not suicide. Suicide is selfish, it is weak, it is mentally disturbed. This is istishad (martyrdom or self sacrifice in the service of Allah.)",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"A martyrdom operation is the highest level of jihad, and highlights the depth of our faith. the bombers are holy fighters who carry out one of the more important articles of faith",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,It is attacks when a member gives his life that earn the most respect and elevate the bombers to the highest possible level of martyrdom.,,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"I am not a murderer. A murderer is someone with a psychological problem; armed actions have a goal. even if civilians are killed, it is not because we like it or are bloodthirsty. It is a fact of life in a people’s struggle the group doesn’t do it because it wants to kill civilians, but because the jihad must go on.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"I asked Halil what it was all about and he told me that he had been on the wanted list for a long time and did not want to get caught without realizing his dream of being a martyrdom operation bomber. He was completely calm and explained to the other two bombers, Yusuf and Beshar, how to detonate the bombs, exactly the way he had explained things to the bombers in the Mahane Yehuda attack. I remember that besides the tremendous respect I had for Halil and the fact that I was jealous of him, I also felt slighted that he had not asked me to be the third martyrdom operation bomber. I understood that my role in the movement had not come to an end and the fact that I was not on the wanted list and could operate relatively freely could be very advantageous to the movement in the future.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"Personally I made do with a pistol. But I would like the organization to have arms that could wipe out a village or a neighborhood. Atomic and chemical weapons, and things like that, though, frighten me, and I would worry about their impact and consequences of using them. ",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,That is necessary to defeat the enemy and to liberate our lands and can inflict damage to the enemy.,,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"As for the question of weapons of mass destruction or nonconventional weapons, the question never arose. All I wanted was a pistol. But we did discuss the subject once. Islam wants to liberate, not kill. Under Islamic law, mass destruction is forbidden. For example, chemical, biological or atomic weapons damage the land and living things, including animals and plants, which are God’s creations. Poisoning wells or rivers is forbidden under Islam",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"When it came to moral considerations, we believed in the justice of our cause and in our leaders… I don’t recall ever being troubled by moral questions.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"The organization had no red lines or moral constraints in actions against Jews. Any killing of a Jew was considered a success, and the more the better. The organization has no moral red lines. We must do everything to force the enemy to retreat from out lands. Nothing is illegitimate in achieving this.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"As for the organization’s moral red lines, there were none. We considered every attack on the occupier legitimate. The more you hurt the enemy, the more he understands.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"In a Jihad, there are no red lines.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"As for weapons of mass destruction and unconventional weapons, as an underground organization, we never needed anything more than light automatic weapons and grenades.",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"""All praise is due to Allāh, the Lord of the Worlds. Jihād is an obligation from Allāhجل جلاله . Young Muslims are brought up into it since the day the Messenger of Allāh صلى الله عليه وسلم carried the sword until the last of this nation will fight against the False Messiah. Jihād will continue throughout the generations of Muslims.The organization of al-Qā`idah is among these generations of Muslims who are carrying the responsibility of calling to Islām and defending the holy sites, the religion, honor and land since its foundation before three decades. Since 1990 when the Americans occupied the land of revelation, the youth of the Peninsula of Islām are defending their religion, their holy places and their land which their Messenger, peace be upon him, ordered to expel from it the disbelievers. They have executed a few operations against the Americans in and out of the Arabian Peninsula. The most famous are the Ulaya, al-Khobar, East Riyadh, USS Cole, Limburg, and the assassination of US soldiers in the island of Faylakah in Kuwait. The leaders of al-Qā`idah such as Shaykh al-Battār Yūsuf al- `Uyaīrī, `Abdul `Azīz al-Miqrin, and Shaykh Abū `Alī al-Ĥārithī and others led this war against the Americans in and outside of the Arabian Peninsula. We are proud with this legacy not only as Muslims but as freemen too. The organization of AQAP, as our beloved leader Shaykh Usāmah said: “With America entering into con$ict with the sons of the land of the two holy places, it will forget the terrors of Vietnam. And, by the will of Allāh, the upcoming victory in the land of Ĥijāz and Najd will make America forget the horrors of Vietnam and Beirut, by the permission of Allāh, Glorified and Exalted be He.” Our objectives are driving out the occupiers from the Arabian Peninsula and purifying its land from them, establishing the law of sharī`ah, the establishment of khilāfah, spreading the call to the oneness of Allāh جل جلاله ,defending against the transgressors and helping the weak. All praise is due to Allāh, the Lord of the Worlds, Allāh جل جلاله has blessed us with e""""ective operations against the transgressing Americans and we ask Allāh to grant us more. The interest that is shown towards AQAP is because of the strategic importance of the Arabian Peninsula. This is the place of the revelation, the birthplace of Islām, the land of the two holy Mosques and the blood of the saĥāba runs through the veins of its sons. Because of the greed of the Americans, they have vital interests in the Arabian Peninsula. The passageways of commerce pass through its waters and oil is stolen from it. So this place is a vein of life for the Americans. Thus they are focused on it and they do not want any con$icts in this area or any group that would protect the wealth of the Muslims and their religion. They fear that their plots would be foiled and their dreams brought to an end. To answer your question on how serious the danger of AQAP is, I say that wherever there are mujāhidīn, there is danger awaiting the disbelievers. The mujāhidīn are one body and if one of them is somewhere you would find fear and terror spreading in that place. All of the branches of al-Qā`idah have succeeded in powerful operations against the Americans and the latest is the car bomb in New York. The di""""erent branches have good competition in fighting the Americans and their allies. All of them want to win the race of destroying the idol (i.e. , America) and to have the greatest share in that effort. All praise is due to Allāh, the targeting of Muĥammad bin Nayif was part of our e""""ort to purify the Arabian Peninsula from the traitors. He and his ilk are the ones who allowed the Americans to set base in the Peninsula of Islām, playing the role of Abū Ruqāl in its worst forms. He is an American in the clothes of an Arab. If it wasn’t for these traitors, the American airplanes wouldn’t have bombed Iraq and Afghanistan from the airports of Kharj and Riyadh and others, and if wasn’t for them, the Jews wouldn’t have remained in Palestine for more than sixty years. So this evil deformed person who is leading the war against the mujāhidīn, who is plotting against them day and night, and is implementing the American agenda, has led us to target him because of his actions. Some of the results of this blessed operation are that it turned the attention of the mujāhidīn to target the leaders of disbelief and the plotters of evil and that reaching them is not di&cult by the will of Allāh. This operation broke the legend of the infallibility of their security measures and made it clear that the heroic mujāhid - by properly concealing his device, not having any metal parts in it and putting his trust in Allāh جل جلاله - can reach to his target without being exposed. All praise is due to Allāh, the operation of `Umar al-Fārūq – may Allāh hasten his release – is a strong blow to the con of the Because of the greed of the Americans, they have vital interests in the Arabian Peninsula. The passageways of commerce pass through its waters and oil is stolen from it. So this place is a vein of life for the Americans. American economy and is a slap in the face of the American security apparatus. He reached his destination and was able to break through all of the strict security barriers after passing through a few airports and was searched in them. But through the blessing of Allāh جل جلاله ,all security equipment failed to display his explosive device. The message we intended on sending to the Americans is: “America will never enjoy security until we live it in Palestine and it is not fair for you to enjoy life while our brothers in Gaza are going through a difficult life.” The fruits of the operation are many. Some of which: t Great loss to the US economy which reached $41 billion and all of their security measures have gone with the wind. The fear which has spread throughout airports and security institutions has revealed to the American people that its security institutions are not to be counted upon. Delivering fear to the American people and creating a balance in fear and that security is not something that the government of Obama can control. Opening the door for many Muslim youth in the West who want to seek revenge from the Crusader states that are fighting Islām. What we want from the West is one thing: To stop aggression and oppression against the Muslim Nation and to withdraw out of its land. This solution was given by all of our leaders and in more than one occasion. The truce was offered by the one who has real authority to take such a decision on behalf of the Muslims, Shaykh Usāmah bin Lādin, may Allāh preserve him. His o""""er was refused. Whenever we o""""er a sound plan, they escalate in their stubbornness so we are left with no option but to defend ourselves and fight the transgressors. If the West refrains from attacking us and oppressing our Nation, we will refrain from them. Otherwise we will have them drink from the same cup that they have the innocent from our Nation drink from. The American culture is that of killing other people. How many have the Americans killed from the Vietnamese, the Japanese, the Iraqi people, the Afghani people, and the Somali people, and how many have the Zionist allies killed from the sons of Palestine with the support of these bloodthirsty beasts? And finally they have killed tens from the tribe of Bākāzim, Arĥab and al-`Awāliq. They have killed women and children and lied by saying that these were preemptive strikes against al-Qā`idah in order to justify to their people that they have killed the leaders of al-Qā`idah. The Yemeni government jumped not to defend its sovereignty and its innocent people but to condemn the oppressed and justify for the Americans their crimes. They marketed the American bombing as a bombing performed by their air force against al-Qā`idah when they knew that the casualties were Bedouins. But it seems as if the Yemeni government has settled some previous scores while the women and children pay the price at the hand of the Americans. And what are these accurate operations that have killed tens of children and women? If the pilot was ignorant of military matters he would still be able to tell the di""""erence between tents of bedouins and military sites, but it is American hate and lust for killing others. These bombings will not deliver anything to the Americans and will not weaken the organization by the blessings of Allāh. Instead they will only advance us further and push the Muslim people to stand with us. These reckless acts of the Americans will only reveal to the Muslim people the reality of the democracy of murder and destruction. The president of Yemen is a professional liar, especially when it comes to lying in order to extort money. Such lies bring in dollars from the Americans. They are gullible and he is creating for them fake victories. As the caller to Islām, Shaykh Anwar al-`Awlakī, may Allāh preserve him, said: “The distinctive mark of the Yemeni government is lying. They are lying to their people. They are lying to the outside world. They are lying to everyone.” They have been lying for thirty years. They lie against their people in an exposed fashion and this proves to us their inability to defend themselves let alone others and that the matter is out of their hands now. Thus, they have nothing else to do but lie and claim that we have killed so-and-so and imprisoned so-and-so. This is all in order that foreign assistance keeps flowing in. All praise is due to Allāh. America is the one forcing us to target it. These heinous crimes which the human soul rejects such as the cartoons of the Messenger صلى الله عليه وسلم and holding celebrations and awarding those who curse the Prophet صلى الله عليه وسلم require us to target the Americans. In fact they require us to wipe them out of the map completely. America is a cancer that needs to be removed along with the West that is supporting this criminal behavior and are banning the niqāb of the chaste and pure Muslim women. Thus, we insist on fighting against this oppression and aggression. The issue now is not fighting for peoples’ lives, land or wealth as the obligation has become greater than that. The issue now is the defense of the Prophets and supporting them against these obscene people. For them there is no way out from the punishment of Allāh because Allāh جل جلاله will protect His Messengers. Allāh جل جلاله protects the believers so wouldn’t he protect His Prophets who are the most beloved to Him and are the chosen ones of His creation? Allāh جل جلاله will give us victory against them and what America awaits in the coming days is greater and worse than what has passed by the will of Allāh: Allāh جل جلاله says: (Say: “Do you await for us except one of the two best things [i.e., martyrdom or victory] while we await for you that Allāh will a(ict you with punishment from Himself or at our hands? So wait; indeed we, along with you, are waiting). My advice to my Muslim brothers in the West is to acquire weapons and learn methods of war. They are living in a place where they can cause great harm to the enemy and where they can support the Messenger of Allāh صلى الله عليه وسلم There is no meaning in life if the Messenger of Allāh صلى الله عليه وسلم is cursed while they listen to and see such crimes being committed in front of their eyes. It is not enough to defend him, may my father and mother be sacrificed for him, to participate in demonstrations and protests because these methods would not stop the West which is already used to them. The successful means are through explosive devices and sacrificing souls. That is a more pronounced and successful way of defending him and this is a practice started by the Ţālibān of Pakistan, Niđāl Ĥassan, and `Umar al-Fārūq, may Allāh release them and on this path are men who are coming to you by the will of Allāh. O Muslims rise up in defense of your Messenger صلى الله عليه وسلم :a man with his knife, a man with his gun, a man with his rifle, a man with his bomb, by learning how to design explosive devices, by burning down forests and buildings, or by running over them with your cars and trucks. The means of harming them are many so seek assistance from Allāh جل جلاله and do not be weak and you will find a way. The rights of the Messenger of Allāh صلى الله عليه وسلم upon us are great and it is nothing for all of us to die for his sake; may our mothers be bereaved of us if we do not defend him صلى الله عليه وسلم. O Muslims you have no excuse in front of Allāh except if you fight in defense of his Messenger صلى الله عليه وسلم .If you cannot fight, then you should emigrate from the land where he is being cursed because such a land is awaiting the wrath of Allāh. Especially that the Messenger of Allāh صلى الله عليه وسلم discouraged living amongst the disbelievers so how about living at ease amongst them when the Messenger of Allāh صلى الله عليه وسلم is being attacked and you do nothing to defend him or leave the land where he is being cursed? What will you answer your Lord on the Day of Judgment? If you fail to emigrate, then at least boycott the disbelievers and proclaim the oneness of Allāh جل جلاله ,Walā’ and Barā’ and pray to Allāh جل جلاله to make a way out for you. May Allāh جل جلاله grant us success in giving victory to His religion and His Messenger صلى الله عليه وسلم. And all praises and thanks belong to Allāh, the Lord of the Worlds.""",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"He is the imam and khalifah [caliph] for the Muslims everywhere,” ... “It is incumbent upon all Muslims to pledge allegiance to [him] and support him … The legality of all emirates, groups, states and organizations becomes null by the expansion of the khalifah’s authority and arrival of its troops to their areas",,,,,,,,,,,,,,,,,,,,,,,,
Terrorist,"I’m back, Obama, and I’m back because of your arrogant foreign policy toward the Islamic State because of your insistence in continuing your bombings in Muhassan, Albuomar and the Mosul Dam despite our serious warnings. You, Obama, have yet to gain for your actions through yet another American Citizen for just as your missiles continue to strike our people, our knife will continue to strike the necks of your people ""The blood of David Haines was on your hands David Cameron. Alan Henning will also be slaughtered but his blood is on the hands of the British parliament.""  ""Obama you have started your aerial bombardment in Sham (Syria), which keeps on striking our people, so it is only right we keep on striking the necks of your people""
",,,,,,,,,,,,,,,,,,,,,,,,
